-158,71,999
-150,73,1000
-158,75,998
-155,65,1000
-153,76,1000
-156,76,1001
-158,69,1001
-154,74,1000
-154,75,1002
-156,69,1000
-156,71,1001
-155,71,1002
-154,73,1001
-156,72,1000
-155,73,999
-155,75,1000
-154,69,1001
-156,73,1000
-156,74,1000
-154,70,1001
-153,72,1000
-157,74,1001
-157,72,1000
-154,72,1001
-154,71,1000
-156,74,999
-155,72,1001
-156,75,1000
-154,71,1000
-156,71,1001
-156,76,999
-155,70,1000
-155,72,1000
-154,74,1000
-156,72,1000
-156,73,999
-154,72,999
-155,73,1001
-155,72,999
-155,72,999
-156,74,999
-154,70,1000
-156,72,999
-156,73,999
-153,70,1000
-157,74,999
-156,72,1000
-155,70,999
-156,76,1000
-156,71,1000
-155,72,1000
-154,73,1001
-156,72,1000
-156,73,1000
-154,70,1001
-154,72,1001
-156,74,1000
-156,71,1000
-154,72,1001
-144,66,1023
-148,43,957
-147,76,988
-156,89,1004
-149,53,1005
-157,78,992
-157,72,999
-155,60,1001
-152,90,999
-153,70,1001
-159,53,1003
-163,90,996
-151,69,999
-146,63,1004
-159,83,999
-160,70,1000
-150,70,1002
-154,79,1001
-160,67,1000
-158,69,1000
-155,81,997
-152,66,1000
-155,72,999
-157,74,999
-153,72,999
-155,74,998
-157,72,999
-155,71,998
-153,73,999
-155,73,999
-159,70,997
-155,75,998
-152,73,998
-157,72,998
-158,74,997
-154,65,1003
-153,85,1000
-155,69,1000
-158,64,997
-156,82,995
-151,66,998
