118,-42,1000
116,-40,1006
116,-42,1003
119,-42,1004
117,-43,1003
117,-42,1003
117,-41,1003
119,-40,1003
117,-41,1004
117,-41,1004
118,-41,1005
117,-41,1004
117,-44,1005
119,-42,1004
116,-41,1004
117,-40,1006
112,-43,995
131,-37,998
125,-66,1016
142,-95,1329
46,-122,938
160,93,1070
89,-213,1056
75,-299,1032
177,-267,1067
-60,-259,995
-62,-118,998
-246,-8,990
-263,156,1163
-382,227,953
-351,271,981
-212,351,874
82,456,1012
274,457,949
383,390,863
438,329,1141
537,259,751
513,75,1039
505,-8,891
463,-129,950
373,-238,893
329,-336,890
83,-391,974
240,-335,931
-51,-367,1078
64,-214,1118
9,-101,1011
43,-19,1191
-53,48,1123
3,63,1249
-155,150,1173
-65,150,959
-271,230,1075
-94,321,1000
-139,341,1089
92,433,1027
456,485,1200
501,237,914
604,181,996
646,-62,851
571,-158,801
493,-321,847
448,-415,928
305,-515,873
50,-605,876
2,-499,761
74,-555,1072
-22,-404,829
-78,-261,1074
-122,-36,982
22,20,1086
-21,22,1062
120,86,969
109,32,1192
-33,57,1012
81,15,1036
132,43,987
-13,-38,987
551,254,1360
100,-51,989
70,-49,1006
57,-44,1014
58,-38,1010
68,-41,1009
62,-44,1011
58,-40,1012
64,-40,1011
63,-43,1010
59,-40,1013
64,-38,1012
62,-39,1011
62,-40,1013
62,-39,1013
65,-39,1011
62,-40,1011
62,-40,1012
62,-40,1013
66,-38,1011
67,-40,1011
63,-39,1013
