M 69,43,-826
A -131,-155,999
G 0.7,-4.2,-0.4
M 73,39,-832
A -131,-155,1000
G 0.7,-4.2,-0.3
M 66,46,-834
A -130,-155,999
G 0.7,-4.2,-0.4
M 60,42,-837
A -131,-155,999
G 0.7,-4.3,-0.4
M 69,43,-835
A -130,-155,999
G 0.7,-4.4,-0.4
M 70,39,-832
A -131,-155,999
G 0.7,-4.4,-0.4
M 70,46,-832
A -131,-155,999
G 0.7,-4.4,-0.4
M 69,48,-831
A -131,-155,999
G 0.7,-4.2,-0.4
M 63,43,-832
A -131,-154,999
G 0.7,-4.3,-0.4
M 69,45,-837
A -131,-155,1000
G 0.7,-4.3,-0.4
M 64,42,-832
A -132,-155,1000
G 0.7,-4.4,-0.4
M 67,43,-834
A -131,-155,999
G 0.7,-4.4,-0.4
M 61,42,-826
A -131,-156,998
G 0.7,-4.3,-0.4
M 70,42,-841
A -130,-155,1000
G 0.7,-4.3,-0.4
M 67,42,-835
A -130,-155,999
G 0.7,-4.3,-0.4
M 63,43,-829
A -130,-155,1001
G 0.7,-4.3,-0.4
M 70,45,-828
A -130,-155,999
G 0.7,-4.4,-0.4
M 57,46,-841
A -130,-155,1000
G 0.7,-4.4,-0.4
M 64,36,-832
A -131,-155,999
G 0.7,-4.4,-0.4
M 63,40,-834
A -131,-155,1001
G 0.7,-4.3,-0.4
M 67,49,-837
A -131,-156,999
G 0.7,-4.5,-0.4
M 69,45,-843
A -130,-156,1000
G 0.7,-4.4,-0.4
M 60,37,-829
A -131,-155,999
G 0.7,-4.2,-0.4
M 63,48,-834
A -131,-155,999
G 0.7,-4.3,-0.4
M 60,45,-831
A -131,-155,999
G 0.8,-4.3,-0.4
M 67,45,-840
A -131,-155,999
G 0.7,-4.2,-0.4
M 69,34,-834
A -131,-155,1000
G 0.7,-4.4,-0.3
M 60,40,-832
A -131,-156,999
G 0.7,-4.3,-0.4
M 58,39,-835
A -131,-156,1001
G 0.7,-4.4,-0.3
M 69,36,-834
A -131,-156,999
G 0.7,-4.4,-0.4
M 58,37,-838
A -132,-155,1001
G 0.9,-3.9,-0.3
M 70,48,-835
A -132,-157,1000
G 0.7,-4.2,-0.4
M 67,40,-837
A -131,-156,999
G 0.6,-4.6,-0.4
M 67,37,-840
A -131,-155,1002
G 0.7,-4.2,-0.4
M 64,31,-832
A -129,-156,999
G 0.8,-4.4,-0.4
M 67,36,-844
A -144,-151,1006
G 1.6,-1.8,-0.2
M 67,40,-838
A -142,-153,1009
G 1.6,-2.1,-0.2
M 63,43,-834
A -136,-152,1011
G 1.6,-4.6,-0.2
M 66,45,-834
A -127,-157,995
G 0.0,-5.6,-0.5
M 72,42,-831
A -130,-155,997
G -0.2,-4.9,-0.6
M 60,37,-831
A -127,-155,996
G 0.7,-5.3,-0.4
M 57,36,-834
A -132,-157,997
G 0.3,-4.7,-0.4
M 70,52,-834
A -128,-156,992
G 0.4,-4.9,-0.4
M 66,45,-823
A -129,-157,995
G 0.4,-4.9,-0.4
M 66,45,-844
A -129,-156,997
G 0.7,-4.5,-0.3
M 70,48,-831
A -130,-156,997
G 0.7,-4.4,-0.4
M 69,45,-838
A -129,-155,997
G 0.8,-4.3,-0.4
M 69,39,-828
A -130,-156,1001
G 0.8,-4.0,-0.4
M 72,48,-841
A -131,-156,1001
G 0.9,-4.0,-0.4
M 63,45,-834
A -132,-156,1001
G 1.0,-3.8,-0.3
M 64,39,-825
A -132,-156,1000
G 0.8,-3.8,-0.4
M 69,39,-835
A -132,-155,1002
G 0.6,-4.3,-0.4
M 70,45,-838
A -132,-155,1001
G 0.7,-4.3,-0.4
M 73,42,-831
A -131,-155,1001
G 0.7,-4.2,-0.4
M 72,46,-832
A -131,-155,1002
G 0.7,-4.2,-0.4
M 63,48,-841
A -131,-156,1000
G 0.7,-4.4,-0.4
M 60,46,-832
A -128,-155,990
G 0.4,-5.1,-0.4
M 63,43,-840
A -131,-154,996
G 0.7,-5.2,-0.3
M 69,42,-840
A -127,-157,993
G 0.2,-5.6,-0.4
M 67,49,-831
A -127,-157,994
G 0.0,-5.1,-0.4
M 67,46,-825
A -128,-155,993
G 0.8,-5.1,-0.3
M 60,49,-828
A -130,-155,1000
G 1.3,-3.7,-0.3
M 72,45,-835
A -128,-156,994
G 0.9,-4.0,-0.4
M 69,49,-835
A -133,-153,998
G 0.9,-3.7,-0.3
M 64,43,-835
A -134,-154,998
G 1.0,-4.4,-0.3
M 72,48,-838
A -133,-156,1002
G 0.7,-3.9,-0.4
M 67,40,-832
A -131,-155,1001
G 1.0,-3.8,-0.3
M 75,43,-826
A -130,-156,1000
G 0.7,-4.2,-0.4
M 63,40,-831
A -131,-154,1002
G 0.9,-4.1,-0.4
M 58,49,-841
A -130,-156,999
G 0.7,-4.4,-0.4
M 58,46,-835
A -131,-155,996
G 0.5,-4.4,-0.4
M 70,43,-834
A -130,-156,997
G 0.7,-4.5,-0.3
M 69,48,-838
A -129,-155,995
G 0.6,-4.8,-0.3
M 58,36,-840
A -129,-156,998
G 0.6,-5.1,-0.3
M 64,42,-831
A -142,-151,1016
G 1.7,-2.8,-0.3
M 66,45,-832
A -135,-160,1002
G 0.7,-3.3,-0.4
M 66,39,-838
A -123,-158,990
G -0.3,-7.2,-0.5
M 57,42,-835
A -128,-153,993
G -0.1,-6.0,-0.4
M 63,45,-838
A -125,-159,983
G -0.9,-6.3,-0.5
M 66,37,-837
A -127,-158,991
G 0.0,-5.3,-0.2
M 58,46,-837
A -128,-156,993
G 0.7,-5.3,-0.2
M 66,46,-829
A -129,-154,997
G 0.9,-4.4,-0.3
M 70,51,-837
A -129,-156,997
G 0.7,-4.2,-0.3
M 67,45,-837
A -130,-156,998
G 0.7,-4.2,-0.4
M 66,39,-837
A -128,-155,996
G 0.8,-4.3,-0.3
M 61,48,-837
A -131,-156,999
G 0.9,-4.0,-0.4
M 63,36,-822
A -132,-155,1002
G 0.9,-3.9,-0.3
M 63,40,-832
A -131,-154,999
G 0.8,-4.2,-0.4
M 63,45,-835
A -133,-155,1002
G 0.8,-4.1,-0.4
M 63,40,-829
A -132,-155,1001
G 0.7,-4.0,-0.4
M 70,40,-835
A -133,-154,1003
G 0.9,-3.9,-0.3
M 63,40,-843
A -130,-155,1000
G 0.8,-4.2,-0.4
M 66,46,-835
A -134,-155,1000
G 0.6,-4.2,-0.4
M 66,43,-825
A -131,-154,1000
G 0.9,-4.5,-0.4
M 60,52,-835
A -131,-156,998
G 0.6,-4.5,-0.4
M 64,36,-840
A -128,-156,994
G 0.5,-4.6,-0.4
M 67,45,-837
A -130,-156,997
G 0.6,-4.7,-0.4
M 61,43,-829
A -129,-156,998
G 0.7,-4.4,-0.4
M 67,45,-841
A -129,-155,998
G 0.7,-4.4,-0.4
M 67,40,-841
A -130,-155,998
G 0.8,-4.3,-0.4
M 66,43,-831
A -131,-155,998
G 0.7,-4.4,-0.3
M 66,49,-837
A -131,-156,999
G 0.8,-4.3,-0.4
M 79,39,-837
A -130,-156,998
G 0.7,-4.4,-0.4
M 60,40,-831
A -131,-155,999
G 0.7,-4.4,-0.4
M 66,40,-840
A -130,-155,1000
G 0.8,-4.3,-0.3
M 61,48,-837
A -131,-155,999
G 0.7,-4.4,-0.3
M 69,37,-831
A -130,-155,999
G 0.7,-4.5,-0.4
M 70,37,-828
A -130,-155,998
G 0.7,-4.4,-0.4
M 57,40,-838
A -129,-155,997
G 0.7,-4.6,-0.4
M 61,43,-834
A -129,-156,996
G 0.7,-4.5,-0.4
M 67,51,-829
A -128,-156,998
G 0.7,-4.2,-0.3
M 66,43,-835
A -129,-155,998
G 0.9,-4.2,-0.4
M 67,34,-835
A -130,-156,1000
G 0.9,-4.1,-0.3
M 66,42,-838
A -129,-156,1001
G 0.8,-4.1,-0.4
M 66,42,-838
A -131,-155,1000
G 0.8,-4.2,-0.3
M 72,40,-837
A -130,-155,1001
G 0.7,-4.1,-0.4
M 63,51,-829
A -130,-156,1000
G 0.8,-4.6,-0.4
M 69,48,-832
A -131,-155,1000
G 0.8,-4.1,-0.3
M 69,43,-834
A -131,-155,1000
G 0.8,-4.2,-0.3
M 60,40,-847
A -131,-156,1001
G 0.7,-4.6,-0.4
M 64,37,-828
A -130,-156,999
G 0.5,-4.5,-0.4
M 67,40,-844
A -132,-155,1001
G 0.7,-4.4,-0.3
M 67,55,-841
A -131,-155,1000
G 0.8,-4.4,-0.4
M 61,46,-831
A -130,-156,1001
G 0.7,-4.2,-0.4
M 70,40,-834
A -130,-155,1000
G 0.7,-4.5,-0.4
M 63,46,-834
A -131,-155,1001
G 0.8,-4.2,-0.4
M 70,40,-835
A -130,-154,997
G 0.7,-4.5,-0.4
M 66,36,-831
A -130,-155,998
G 0.6,-4.7,-0.4
M 70,43,-838
A -130,-155,998
G 0.7,-4.6,-0.4
M 76,45,-832
A -128,-156,997
G 0.7,-4.6,-0.4
M 61,45,-831
A -130,-157,997
G 0.7,-4.4,-0.4
M 61,52,-832
A -128,-155,994
G 0.7,-4.4,-0.4
M 75,46,-837
A -130,-156,998
G 0.8,-4.2,-0.4
M 64,46,-838
A -130,-156,997
G 0.7,-4.4,-0.4
M 58,37,-837
A -130,-155,999
G 0.7,-4.3,-0.4
M 61,39,-829
A -130,-156,998
G 0.6,-4.3,-0.4
M 66,40,-841
A -129,-155,997
