Interval,10000,usec,,,,,,,,,,
pin0,pin1,pin2,pin3,,,,,,Offsets,,,
947,928,943,840,,-3,2,8,4,,,,
946,928,943,839,,-4,2,8,3,,,,
946,928,943,839,,-4,2,8,3,,,,
947,928,943,840,,-3,2,8,4,,,,
947,928,943,840,,-3,2,8,4,,,,
946,928,943,840,,-4,2,8,4,,,,
946,928,943,840,,-4,2,8,4,,,,
946,929,943,839,,-4,3,8,3,,,,
946,929,943,840,,-4,3,8,4,,,,
946,928,943,852,,-4,2,8,16,,,,
946,929,946,853,,-4,3,11,17,,,,
946,928,946,854,,-4,2,11,18,,,,
946,929,946,855,,-4,3,11,19,,,,
946,929,946,856,,-4,3,11,20,,,,
945,928,946,853,,-5,2,11,17,,,,
945,928,946,856,,-5,2,11,20,,,,
944,928,947,851,,-6,2,12,15,,,,
943,929,947,856,,-7,3,12,20,,,,
943,929,947,856,,-7,3,12,20,,,,
943,929,947,856,,-7,3,12,20,,,,
943,928,947,856,,-7,2,12,20,,,,
943,928,948,856,,-7,2,13,20,,,,
943,928,947,856,,-7,2,12,20,,,,
942,928,947,856,,-8,2,12,20,,,,
942,928,947,856,,-8,2,12,20,,,,
942,928,947,856,,-8,2,12,20,,,,
940,928,948,856,,-10,2,13,20,,,,
940,928,946,856,,-10,2,11,20,,,,
937,928,947,856,,-13,2,12,20,,,,
937,928,948,856,,-13,2,13,20,,,,
938,928,948,856,,-12,2,13,20,,,,
938,928,948,856,,-12,2,13,20,,,,
939,928,948,856,,-11,2,13,20,,,,
939,928,948,856,,-11,2,13,20,,,,
939,928,948,855,,-11,2,13,19,,,,
939,928,948,855,,-11,2,13,19,,,,
939,928,948,856,,-11,2,13,20,,,,
939,928,948,856,,-11,2,13,20,,,,
939,928,948,855,,-11,2,13,19,,,,
937,928,948,856,,-13,2,13,20,,,,
937,928,948,856,,-13,2,13,20,,,,
937,928,949,856,,-13,2,14,20,,,,
937,928,949,856,,-13,2,14,20,,,,
936,928,949,855,,-14,2,14,19,,,,
936,928,949,855,,-14,2,14,19,,,,
936,928,949,855,,-14,2,14,19,,,,
935,928,949,856,,-15,2,14,20,,,,
935,928,949,856,,-15,2,14,20,,,,
935,929,949,855,,-15,3,14,19,,,,
935,928,949,855,,-15,2,14,19,,,,
935,928,949,855,,-15,2,14,19,,,,
935,929,949,855,,-15,3,14,19,,,,
936,928,949,855,,-14,2,14,19,,,,
935,928,949,855,,-15,2,14,19,,,,
935,928,949,855,,-15,2,14,19,,,,
935,928,949,855,,-15,2,14,19,,,,
935,928,949,856,,-15,2,14,20,,,,
935,928,949,855,,-15,2,14,19,,,,
935,928,949,856,,-15,2,14,20,,,,
935,928,949,855,,-15,2,14,19,,,,
935,928,949,856,,-15,2,14,20,,,,
934,928,949,856,,-16,2,14,20,,,,
934,928,949,855,,-16,2,14,19,,,,
934,928,949,856,,-16,2,14,20,,,,
934,928,948,855,,-16,2,13,19,,,,
930,928,948,855,,-20,2,13,19,,,,
929,928,949,855,,-21,2,14,19,,,,
929,928,950,855,,-21,2,15,19,,,,
928,928,951,858,,-22,2,16,22,,,,
928,929,951,858,,-22,3,16,22,,,,
926,929,953,858,,-24,3,18,22,,,,
928,929,953,855,,-22,3,18,19,,,,
927,929,953,856,,-23,3,18,20,,,,
926,929,953,857,,-24,3,18,21,,,,
926,929,954,857,,-24,3,19,21,,,,
926,929,954,857,,-24,3,19,21,,,,
924,929,955,857,,-26,3,20,21,,,,
922,928,955,856,,-28,2,20,20,,,,
921,929,955,855,,-29,3,20,19,,,,
914,929,955,854,,-36,3,20,18,,,,
912,929,957,858,,-38,3,22,22,,,,
911,929,958,859,,-39,3,23,23,,,,
906,929,958,857,,-44,3,23,21,,,,
904,929,958,859,,-46,3,23,23,,,,
903,929,958,860,,-47,3,23,24,,,,
903,929,958,860,,-47,3,23,24,,,,
903,929,958,859,,-47,3,23,23,,,,
905,929,958,860,,-45,3,23,24,,,,
899,929,959,858,,-51,3,24,22,,,,
889,929,960,856,,-61,3,25,20,,,,
881,929,960,845,,-69,3,25,9,,,,
867,929,960,839,,-83,3,25,3,,,,
874,929,960,835,,-76,3,25,-1,,,,
867,929,961,837,,-83,3,26,1,,,,
872,929,961,837,,-78,3,26,1,,,,
866,929,962,842,,-84,3,27,6,,,,
853,929,962,843,,-97,3,27,7,,,,
838,929,962,845,,-112,3,27,9,,,,
841,929,963,843,,-109,3,28,7,,,,
830,929,964,840,,-120,3,29,4,,,,
807,929,965,839,,-143,3,30,3,,,,
801,929,966,840,,-149,3,31,4,,,,
794,929,966,842,,-156,3,31,6,,,,
780,929,968,841,,-170,3,33,5,,,,
769,929,968,848,,-181,3,33,12,,,,
764,929,969,850,,-186,3,34,14,,,,
758,929,969,852,,-192,3,34,16,,,,
766,930,971,839,,-184,4,36,3,,,,
750,930,971,847,,-200,4,36,11,,,,
746,930,972,853,,-204,4,37,17,,,,
753,930,972,850,,-197,4,37,14,,,,
755,930,973,856,,-195,4,38,20,,,,
749,930,973,852,,-201,4,38,16,,,,
737,930,974,849,,-213,4,39,13,,,,
747,930,974,848,,-203,4,39,12,,,,
743,930,974,856,,-207,4,39,20,,,,
754,930,975,862,,-196,4,40,26,,,,
714,930,976,862,,-236,4,41,26,,,,
722,930,977,865,,-228,4,42,29,,,,
702,929,977,867,,-248,3,42,31,,,,
699,929,978,863,,-251,3,43,27,,,,
700,930,979,871,,-250,4,44,35,,,,
716,930,979,880,,-234,4,44,44,,,,
720,929,979,881,,-230,3,44,45,,,,
672,930,979,884,,-278,4,44,48,,,,
724,930,978,881,,-226,4,43,45,,,,
719,930,978,889,,-231,4,43,53,,,,
710,930,976,891,,-240,4,41,55,,,,
679,930,976,900,,-271,4,41,64,,,,
698,930,975,900,,-252,4,40,64,,,,
675,931,974,900,,-275,5,39,64,,,,
709,931,973,903,,-241,5,38,67,,,,
719,931,973,904,,-231,5,38,68,,,,
731,931,972,902,,-219,5,37,66,,,,
717,931,971,899,,-233,5,36,63,,,,
738,931,971,900,,-212,5,36,64,,,,
750,931,971,906,,-200,5,36,70,,,,
756,931,971,908,,-194,5,36,72,,,,
749,930,971,908,,-201,4,36,72,,,,
752,930,971,908,,-198,4,36,72,,,,
709,931,972,911,,-241,5,37,75,,,,
616,931,974,910,,-334,5,39,74,,,,
573,931,975,912,,-377,5,40,76,,,,
359,931,976,907,,-591,5,41,71,,,,
434,931,977,903,,-516,5,42,67,,,,
525,931,978,890,,-425,5,43,54,,,,
523,931,978,891,,-427,5,43,55,,,,
565,931,978,889,,-385,5,43,53,,,,
489,931,979,892,,-461,5,44,56,,,,
548,931,979,893,,-402,5,44,57,,,,
545,931,979,898,,-405,5,44,62,,,,
538,931,979,899,,-412,5,44,63,,,,
574,931,979,899,,-376,5,44,63,,,,
590,931,979,899,,-360,5,44,63,,,,
626,931,979,899,,-324,5,44,63,,,,
652,930,978,901,,-298,4,43,65,,,,
714,930,978,906,,-236,4,43,70,,,,
697,930,977,906,,-253,4,42,70,,,,
712,930,977,914,,-238,4,42,78,,,,
626,931,976,912,,-324,5,41,76,,,,
633,931,975,910,,-317,5,40,74,,,,
660,931,975,912,,-290,5,40,76,,,,
677,931,975,912,,-273,5,40,76,,,,
682,931,975,912,,-268,5,40,76,,,,
713,931,975,914,,-237,5,40,78,,,,
685,931,976,914,,-265,5,41,78,,,,
670,931,976,914,,-280,5,41,78,,,,
667,931,976,915,,-283,5,41,79,,,,
660,931,976,919,,-290,5,41,83,,,,
643,931,977,920,,-307,5,42,84,,,,
633,931,977,921,,-317,5,42,85,,,,
595,931,977,922,,-355,5,42,86,,,,
667,931,977,923,,-283,5,42,87,,,,
676,932,977,924,,-274,6,42,88,,,,
695,931,976,924,,-255,5,41,88,,,,
707,932,976,925,,-243,6,41,89,,,,
703,932,976,925,,-247,6,41,89,,,,
697,932,975,925,,-253,6,40,89,,,,
706,932,975,924,,-244,6,40,88,,,,
710,932,975,923,,-240,6,40,87,,,,
727,932,975,923,,-223,6,40,87,,,,
713,932,974,923,,-237,6,39,87,,,,
696,932,974,921,,-254,6,39,85,,,,
650,932,976,921,,-300,6,41,85,,,,
614,931,977,923,,-336,5,42,87,,,,
354,931,977,921,,-596,5,42,85,,,,
462,931,978,919,,-488,5,43,83,,,,
467,931,979,915,,-483,5,44,79,,,,
504,931,979,915,,-446,5,44,79,,,,
509,931,979,915,,-441,5,44,79,,,,
528,931,979,915,,-422,5,44,79,,,,
565,931,979,919,,-385,5,44,83,,,,
663,931,978,920,,-287,5,43,84,,,,
659,931,977,920,,-291,5,42,84,,,,
661,931,977,922,,-289,5,42,86,,,,
656,931,976,922,,-294,5,41,86,,,,
631,932,976,924,,-319,6,41,88,,,,
662,932,975,925,,-288,6,40,89,,,,
684,932,975,925,,-266,6,40,89,,,,
696,932,975,925,,-254,6,40,89,,,,
688,932,975,925,,-262,6,40,89,,,,
675,932,976,925,,-275,6,41,89,,,,
655,932,977,924,,-295,6,42,88,,,,
562,931,977,924,,-388,5,42,88,,,,
301,931,978,920,,-649,5,43,84,,,,
405,932,978,921,,-545,6,43,85,,,,
415,931,979,924,,-535,5,44,88,,,,
500,932,979,919,,-450,6,44,83,,,,
421,932,979,921,,-529,6,44,85,,,,
448,932,979,921,,-502,6,44,85,,,,
590,932,978,923,,-360,6,43,87,,,,
643,932,978,923,,-307,6,43,87,,,,
652,932,977,925,,-298,6,42,89,,,,
665,932,975,926,,-285,6,40,90,,,,
672,931,974,923,,-278,5,39,87,,,,
696,932,972,919,,-254,6,37,83,,,,
714,932,971,919,,-236,6,36,83,,,,
717,932,972,919,,-233,6,37,83,,,,
744,932,971,919,,-206,6,36,83,,,,
736,932,971,918,,-214,6,36,82,,,,
732,932,971,919,,-218,6,36,83,,,,
723,932,973,919,,-227,6,38,83,,,,
644,932,975,922,,-306,6,40,86,,,,
547,932,976,921,,-403,6,41,85,,,,
520,932,977,922,,-430,6,42,86,,,,
526,931,978,921,,-424,5,43,85,,,,
556,932,978,923,,-394,6,43,87,,,,
578,931,978,923,,-372,5,43,87,,,,
589,932,978,923,,-361,6,43,87,,,,
598,931,977,923,,-352,5,42,87,,,,
634,932,976,924,,-316,6,41,88,,,,
651,932,975,925,,-299,6,40,89,,,,
667,932,975,924,,-283,6,40,88,,,,
707,932,975,924,,-243,6,40,88,,,,
727,932,975,924,,-223,6,40,88,,,,
721,932,975,924,,-229,6,40,88,,,,
722,932,976,925,,-228,6,41,89,,,,
715,933,976,925,,-235,7,41,89,,,,
704,933,976,925,,-246,7,41,89,,,,
711,933,976,926,,-239,7,41,90,,,,
671,933,976,926,,-279,7,41,90,,,,
639,933,976,925,,-311,7,41,89,,,,
610,933,977,926,,-340,7,42,90,,,,
609,933,977,926,,-341,7,42,90,,,,
613,932,977,926,,-337,6,42,90,,,,
650,932,977,926,,-300,6,42,90,,,,
674,932,976,926,,-276,6,41,90,,,,
667,932,974,926,,-283,6,39,90,,,,
703,932,974,926,,-247,6,39,90,,,,
677,932,974,925,,-273,6,39,89,,,,
665,933,975,925,,-285,7,40,89,,,,
645,933,975,926,,-305,7,40,90,,,,
648,932,976,926,,-302,6,41,90,,,,
599,932,977,925,,-351,6,42,89,,,,
559,932,978,924,,-391,6,43,88,,,,
393,932,978,923,,-557,6,43,87,,,,
350,932,978,923,,-600,6,43,87,,,,
595,932,979,924,,-355,6,44,88,,,,
576,932,978,926,,-374,6,43,90,,,,
598,932,977,926,,-352,6,42,90,,,,
656,932,975,927,,-294,6,40,91,,,,
700,932,975,927,,-250,6,40,91,,,,
685,932,975,926,,-265,6,40,90,,,,
712,932,974,926,,-238,6,39,90,,,,
726,933,974,925,,-224,7,39,89,,,,
721,933,974,927,,-229,7,39,91,,,,
730,933,973,924,,-220,7,38,88,,,,
719,933,974,923,,-231,7,39,87,,,,
726,933,973,923,,-224,7,38,87,,,,
725,933,973,923,,-225,7,38,87,,,,
741,933,973,926,,-209,7,38,90,,,,
744,933,973,926,,-206,7,38,90,,,,
670,932,974,926,,-280,6,39,90,,,,
628,933,975,927,,-322,7,40,91,,,,
610,933,975,923,,-340,7,40,87,,,,
610,933,976,922,,-340,7,41,86,,,,
529,933,976,924,,-421,7,41,88,,,,
568,933,976,925,,-382,7,41,89,,,,
595,932,976,924,,-355,6,41,88,,,,
611,933,976,924,,-339,7,41,88,,,,
649,932,975,923,,-301,6,40,87,,,,
676,932,973,919,,-274,6,38,83,,,,
716,932,970,915,,-234,6,35,79,,,,
752,932,967,921,,-198,6,32,85,,,,
760,932,966,913,,-190,6,31,77,,,,
768,932,964,916,,-182,6,29,80,,,,
779,932,964,917,,-171,6,29,81,,,,
782,932,966,918,,-168,6,31,82,,,,
693,932,971,915,,-257,6,36,79,,,,
578,932,974,918,,-372,6,39,82,,,,
496,932,976,922,,-454,6,41,86,,,,
486,932,977,924,,-464,6,42,88,,,,
550,932,976,924,,-400,6,41,88,,,,
638,932,975,924,,-312,6,40,88,,,,
700,933,973,920,,-250,7,38,84,,,,
722,933,969,918,,-228,7,34,82,,,,
743,932,967,913,,-207,6,32,77,,,,
781,932,963,907,,-169,6,28,71,,,,
799,931,951,880,,-151,5,16,44,,,,
782,931,945,876,,-168,5,10,40,,,,
807,931,940,879,,-143,5,5,43,,,,
810,931,942,864,,-140,5,7,28,,,,
826,931,942,865,,-124,5,7,29,,,,
840,930,942,859,,-110,4,7,23,,,,
855,930,941,862,,-95,4,6,26,,,,
859,930,942,865,,-91,4,7,29,,,,
833,929,944,867,,-117,3,9,31,,,,
654,929,969,879,,-296,3,34,43,,,,
617,929,971,869,,-333,3,36,33,,,,
608,930,973,887,,-342,4,38,51,,,,
607,930,974,894,,-343,4,39,58,,,,
640,931,975,898,,-310,5,40,62,,,,
640,931,974,901,,-310,5,39,65,,,,
670,931,973,891,,-280,5,38,55,,,,
712,931,969,889,,-238,5,34,53,,,,
772,931,957,889,,-178,5,22,53,,,,
794,930,944,864,,-156,4,9,28,,,,
812,930,942,856,,-138,4,7,20,,,,
832,930,941,846,,-118,4,6,10,,,,
829,930,940,846,,-121,4,5,10,,,,
832,929,940,845,,-118,3,5,9,,,,
845,930,938,850,,-105,4,3,14,,,,
842,930,939,849,,-108,4,4,13,,,,
848,930,940,843,,-102,4,5,7,,,,
672,929,966,862,,-278,3,31,26,,,,
596,929,971,866,,-354,3,36,30,,,,
425,930,973,874,,-525,4,38,38,,,,
159,930,975,871,,-791,4,40,35,,,,
144,929,977,896,,-806,3,42,60,,,,
317,930,977,888,,-633,4,42,52,,,,
360,930,977,883,,-590,4,42,47,,,,
659,930,975,877,,-291,4,40,41,,,,
714,929,969,859,,-236,3,34,23,,,,
750,929,947,834,,-200,3,12,-2,,,,
785,929,943,837,,-165,3,8,1,,,,
801,929,943,854,,-149,3,8,18,,,,
807,929,942,846,,-143,3,7,10,,,,
815,929,941,840,,-135,3,6,4,,,,
834,929,940,834,,-116,3,5,-2,,,,
838,929,940,851,,-112,3,5,15,,,,
841,929,940,851,,-109,3,5,15,,,,
842,928,940,848,,-108,2,5,12,,,,
845,928,939,844,,-105,2,4,8,,,,
847,928,939,847,,-103,2,4,11,,,,
849,928,939,849,,-101,2,4,13,,,,
783,928,945,859,,-167,2,10,23,,,,
729,929,958,858,,-221,3,23,22,,,,
680,929,964,852,,-270,3,29,16,,,,
643,929,967,856,,-307,3,32,20,,,,
673,930,969,867,,-277,4,34,31,,,,
695,930,968,868,,-255,4,33,32,,,,
712,930,968,869,,-238,4,33,33,,,,
686,930,968,877,,-264,4,33,41,,,,
707,931,968,878,,-243,5,33,42,,,,
712,931,969,880,,-238,5,34,44,,,,
704,931,969,881,,-246,5,34,45,,,,
721,931,968,881,,-229,5,33,45,,,,
738,931,968,882,,-212,5,33,46,,,,
756,931,967,883,,-194,5,32,47,,,,
767,931,967,882,,-183,5,32,46,,,,
736,930,970,882,,-214,4,35,46,,,,
645,930,972,882,,-305,4,37,46,,,,
515,930,974,875,,-435,4,39,39,,,,
481,930,975,871,,-469,4,40,35,,,,
470,930,976,858,,-480,4,41,22,,,,
406,930,976,864,,-544,4,41,28,,,,
408,929,977,883,,-542,3,42,47,,,,
339,930,977,885,,-611,4,42,49,,,,
330,929,977,888,,-620,3,42,52,,,,
319,929,977,896,,-631,3,42,60,,,,
526,929,976,897,,-424,3,41,61,,,,
630,929,975,885,,-320,3,40,49,,,,
678,930,973,894,,-272,4,38,58,,,,
638,930,970,891,,-312,4,35,55,,,,
674,930,970,896,,-276,4,35,60,,,,
672,930,970,892,,-278,4,35,56,,,,
678,930,969,892,,-272,4,34,56,,,,
712,930,969,894,,-238,4,34,58,,,,
718,930,969,894,,-232,4,34,58,,,,
706,930,970,895,,-244,4,35,59,,,,
577,931,972,899,,-373,5,37,63,,,,
582,931,974,909,,-368,5,39,73,,,,
351,930,975,902,,-599,4,40,66,,,,
356,930,976,903,,-594,4,41,67,,,,
366,930,977,903,,-584,4,42,67,,,,
373,930,977,904,,-577,4,42,68,,,,
517,930,976,906,,-433,4,41,70,,,,
631,930,975,904,,-319,4,40,68,,,,
667,930,973,903,,-283,4,38,67,,,,
661,930,972,895,,-289,4,37,59,,,,
662,930,973,898,,-288,4,38,62,,,,
677,930,973,894,,-273,4,38,58,,,,
667,930,974,899,,-283,4,39,63,,,,
648,930,974,900,,-302,4,39,64,,,,
603,930,975,910,,-347,4,40,74,,,,
619,930,975,913,,-331,4,40,77,,,,
617,930,975,915,,-333,4,40,79,,,,
633,931,975,918,,-317,5,40,82,,,,
619,930,976,921,,-331,4,41,85,,,,
615,931,975,918,,-335,5,40,82,,,,
684,931,974,915,,-266,5,39,79,,,,
702,931,970,896,,-248,5,35,60,,,,
770,929,952,869,,-180,3,17,33,,,,
775,929,947,870,,-175,3,12,34,,,,
780,929,947,854,,-170,3,12,18,,,,
794,929,945,857,,-156,3,10,21,,,,
802,929,943,854,,-148,3,8,18,,,,
804,929,943,858,,-146,3,8,22,,,,
808,929,942,859,,-142,3,7,23,,,,
817,929,942,855,,-133,3,7,19,,,,
830,928,942,854,,-120,2,7,18,,,,
831,928,942,848,,-119,2,7,12,,,,
838,928,943,851,,-112,2,8,15,,,,
843,928,943,850,,-107,2,8,14,,,,
842,928,942,854,,-108,2,7,18,,,,
844,927,942,854,,-106,1,7,18,,,,
851,927,941,854,,-99,1,6,18,,,,
858,927,941,847,,-92,1,6,11,,,,
879,927,937,841,,-71,1,2,5,,,,
876,927,935,831,,-74,1,0,-5,,,,
882,925,931,828,,-68,-1,-4,-8,,,,
881,925,927,830,,-69,-1,-8,-6,,,,
890,925,920,837,,-60,-1,-15,1,,,,
894,925,915,838,,-56,-1,-20,2,,,,
900,926,909,832,,-50,0,-26,-4,,,,
913,926,891,822,,-37,0,-44,-14,,,,
923,927,889,820,,-27,1,-46,-16,,,,
930,926,885,824,,-20,0,-50,-12,,,,
934,926,885,816,,-16,0,-50,-20,,,,
934,926,885,816,,-16,0,-50,-20,,,,
935,927,884,812,,-15,1,-51,-24,,,,
935,926,888,812,,-15,0,-47,-24,,,,
935,927,890,810,,-15,1,-45,-26,,,,
936,927,892,810,,-14,1,-43,-26,,,,
936,927,893,810,,-14,1,-42,-26,,,,
936,927,895,811,,-14,1,-40,-25,,,,
936,927,895,811,,-14,1,-40,-25,,,,
937,926,895,811,,-13,0,-40,-25,,,,
937,926,894,811,,-13,0,-41,-25,,,,
937,926,893,811,,-13,0,-42,-25,,,,
936,926,894,811,,-14,0,-41,-25,,,,
936,926,894,809,,-14,0,-41,-27,,,,
937,926,896,810,,-13,0,-39,-26,,,,
937,926,896,810,,-13,0,-39,-26,,,,
936,926,896,810,,-14,0,-39,-26,,,,
937,926,900,811,,-13,0,-35,-25,,,,
937,926,901,811,,-13,0,-34,-25,,,,
936,926,901,811,,-14,0,-34,-25,,,,
938,926,901,810,,-12,0,-34,-26,,,,
938,926,903,809,,-12,0,-32,-27,,,,
938,926,903,810,,-12,0,-32,-26,,,,
938,926,903,810,,-12,0,-32,-26,,,,
937,926,904,811,,-13,0,-31,-25,,,,
938,926,906,811,,-12,0,-29,-25,,,,
938,926,906,812,,-12,0,-29,-24,,,,
938,925,907,811,,-12,-1,-28,-25,,,,
938,926,907,812,,-12,0,-28,-24,,,,
937,926,907,812,,-13,0,-28,-24,,,,
938,926,906,810,,-12,0,-29,-26,,,,
939,926,905,804,,-11,0,-30,-32,,,,
940,926,902,805,,-10,0,-33,-31,,,,
941,926,902,805,,-9,0,-33,-31,,,,
942,926,902,805,,-8,0,-33,-31,,,,
941,925,903,803,,-9,-1,-32,-33,,,,
942,926,903,803,,-8,0,-32,-33,,,,
941,925,905,803,,-9,-1,-30,-33,,,,
942,926,907,804,,-8,0,-28,-32,,,,
942,926,906,806,,-8,0,-29,-30,,,,
941,925,906,806,,-9,-1,-29,-30,,,,
941,925,905,807,,-9,-1,-30,-29,,,,
941,925,905,806,,-9,-1,-30,-30,,,,
941,925,904,806,,-9,-1,-31,-30,,,,
941,925,904,807,,-9,-1,-31,-29,,,,
941,925,905,807,,-9,-1,-30,-29,,,,
942,925,905,812,,-8,-1,-30,-24,,,,
942,925,905,811,,-8,-1,-30,-25,,,,
941,925,908,811,,-9,-1,-27,-25,,,,
941,925,909,812,,-9,-1,-26,-24,,,,
941,925,909,812,,-9,-1,-26,-24,,,,
940,925,909,820,,-10,-1,-26,-16,,,,
940,925,909,820,,-10,-1,-26,-16,,,,
940,925,910,820,,-10,-1,-25,-16,,,,
940,925,910,820,,-10,-1,-25,-16,,,,
940,925,910,819,,-10,-1,-25,-17,,,,
941,925,910,821,,-9,-1,-25,-15,,,,
940,925,910,822,,-10,-1,-25,-14,,,,
941,925,910,809,,-9,-1,-25,-27,,,,
941,925,910,823,,-9,-1,-25,-13,,,,
941,925,910,823,,-9,-1,-25,-13,,,,
941,925,912,822,,-9,-1,-23,-14,,,,
939,925,912,823,,-11,-1,-23,-13,,,,
940,925,913,823,,-10,-1,-22,-13,,,,
939,925,913,820,,-11,-1,-22,-16,,,,
939,925,913,820,,-11,-1,-22,-16,,,,
939,925,913,811,,-11,-1,-22,-25,,,,
940,925,913,771,,-10,-1,-22,-65,,,,
940,925,913,775,,-10,-1,-22,-61,,,,
940,925,913,771,,-10,-1,-22,-65,,,,
940,925,913,778,,-10,-1,-22,-58,,,,
940,925,913,776,,-10,-1,-22,-60,,,,
940,925,913,775,,-10,-1,-22,-61,,,,
940,925,912,774,,-10,-1,-23,-62,,,,
940,925,912,774,,-10,-1,-23,-62,,,,
940,925,912,779,,-10,-1,-23,-57,,,,
940,925,912,763,,-10,-1,-23,-73,,,,
940,925,913,770,,-10,-1,-22,-66,,,,
940,925,912,771,,-10,-1,-23,-65,,,,
940,925,912,772,,-10,-1,-23,-64,,,,
940,925,913,780,,-10,-1,-22,-56,,,,
940,925,912,786,,-10,-1,-23,-50,,,,
940,925,913,776,,-10,-1,-22,-60,,,,
940,925,913,775,,-10,-1,-22,-61,,,,
939,925,913,783,,-11,-1,-22,-53,,,,
939,925,913,786,,-11,-1,-22,-50,,,,
939,925,913,772,,-11,-1,-22,-64,,,,
939,925,913,777,,-11,-1,-22,-59,,,,
939,925,913,775,,-11,-1,-22,-61,,,,
939,925,913,776,,-11,-1,-22,-60,,,,
939,925,913,778,,-11,-1,-22,-58,,,,
939,925,913,776,,-11,-1,-22,-60,,,,
939,925,913,781,,-11,-1,-22,-55,,,,
939,925,913,797,,-11,-1,-22,-39,,,,
939,925,912,792,,-11,-1,-23,-44,,,,
939,925,912,795,,-11,-1,-23,-41,,,,
939,925,912,780,,-11,-1,-23,-56,,,,
939,925,912,777,,-11,-1,-23,-59,,,,
939,925,912,785,,-11,-1,-23,-51,,,,
939,925,912,791,,-11,-1,-23,-45,,,,
939,925,912,790,,-11,-1,-23,-46,,,,
939,925,912,790,,-11,-1,-23,-46,,,,
939,925,912,785,,-11,-1,-23,-51,,,,
939,925,912,795,,-11,-1,-23,-41,,,,
939,925,912,793,,-11,-1,-23,-43,,,,
939,925,912,793,,-11,-1,-23,-43,,,,
939,925,912,792,,-11,-1,-23,-44,,,,
939,925,912,791,,-11,-1,-23,-45,,,,
939,925,912,794,,-11,-1,-23,-42,,,,
939,925,912,795,,-11,-1,-23,-41,,,,
939,925,912,797,,-11,-1,-23,-39,,,,
939,925,912,796,,-11,-1,-23,-40,,,,
939,925,913,796,,-11,-1,-22,-40,,,,
939,925,912,797,,-11,-1,-23,-39,,,,
939,925,913,794,,-11,-1,-22,-42,,,,
939,925,912,797,,-11,-1,-23,-39,,,,
940,925,913,792,,-10,-1,-22,-44,,,,
940,925,912,793,,-10,-1,-23,-43,,,,
940,925,912,797,,-10,-1,-23,-39,,,,
940,925,912,798,,-10,-1,-23,-38,,,,
940,925,912,799,,-10,-1,-23,-37,,,,
940,925,912,801,,-10,-1,-23,-35,,,,
940,925,912,801,,-10,-1,-23,-35,,,,
941,925,913,806,,-9,-1,-22,-30,,,,
941,925,913,803,,-9,-1,-22,-33,,,,
941,925,912,803,,-9,-1,-23,-33,,,,
941,925,912,800,,-9,-1,-23,-36,,,,
941,925,913,802,,-9,-1,-22,-34,,,,
942,925,913,800,,-8,-1,-22,-36,,,,
943,925,913,794,,-7,-1,-22,-42,,,,
943,925,913,794,,-7,-1,-22,-42,,,,
943,925,913,794,,-7,-1,-22,-42,,,,
943,925,913,793,,-7,-1,-22,-43,,,,
943,925,913,795,,-7,-1,-22,-41,,,,
943,925,913,795,,-7,-1,-22,-41,,,,
944,925,913,794,,-6,-1,-22,-42,,,,
943,925,913,797,,-7,-1,-22,-39,,,,
943,925,914,797,,-7,-1,-21,-39,,,,
944,925,913,796,,-6,-1,-22,-40,,,,
944,925,914,796,,-6,-1,-21,-40,,,,
944,925,913,797,,-6,-1,-22,-39,,,,
943,925,913,796,,-7,-1,-22,-40,,,,
943,925,913,797,,-7,-1,-22,-39,,,,
944,925,914,796,,-6,-1,-21,-40,,,,
943,925,914,795,,-7,-1,-21,-41,,,,
943,925,914,795,,-7,-1,-21,-41,,,,
944,925,915,795,,-6,-1,-20,-41,,,,
944,925,914,795,,-6,-1,-21,-41,,,,
944,925,915,795,,-6,-1,-20,-41,,,,
944,925,915,795,,-6,-1,-20,-41,,,,
943,925,915,795,,-7,-1,-20,-41,,,,
944,925,915,794,,-6,-1,-20,-42,,,,
944,925,915,796,,-6,-1,-20,-40,,,,
944,925,915,796,,-6,-1,-20,-40,,,,
944,925,915,796,,-6,-1,-20,-40,,,,
944,925,915,796,,-6,-1,-20,-40,,,,
944,925,915,794,,-6,-1,-20,-42,,,,
944,925,915,795,,-6,-1,-20,-41,,,,
944,925,915,795,,-6,-1,-20,-41,,,,
944,925,915,795,,-6,-1,-20,-41,,,,
944,925,916,795,,-6,-1,-19,-41,,,,
944,925,916,796,,-6,-1,-19,-40,,,,
944,925,916,794,,-6,-1,-19,-42,,,,
944,925,916,796,,-6,-1,-19,-40,,,,
944,925,916,795,,-6,-1,-19,-41,,,,
944,925,916,795,,-6,-1,-19,-41,,,,
944,925,916,794,,-6,-1,-19,-42,,,,
944,925,916,794,,-6,-1,-19,-42,,,,
944,925,916,796,,-6,-1,-19,-40,,,,
944,925,916,795,,-6,-1,-19,-41,,,,
944,925,916,795,,-6,-1,-19,-41,,,,
943,925,916,796,,-7,-1,-19,-40,,,,
944,924,916,796,,-6,-2,-19,-40,,,,
944,925,916,796,,-6,-1,-19,-40,,,,
944,925,916,796,,-6,-1,-19,-40,,,,
944,925,916,796,,-6,-1,-19,-40,,,,
944,925,916,795,,-6,-1,-19,-41,,,,
944,925,916,796,,-6,-1,-19,-40,,,,
944,925,916,797,,-6,-1,-19,-39,,,,
944,925,916,797,,-6,-1,-19,-39,,,,
944,925,916,800,,-6,-1,-19,-36,,,,
944,925,916,800,,-6,-1,-19,-36,,,,
